Link,Comuna,Propiedad,Tipo,precio,precio_CLP,Ubicación,Dormitorios,Baños,Metros,Entrega,Disponibles
https://portalinmobiliario.com/MLC-2882375388-la-reina-casa-remodelada-disponible-15-de-junio-2025-_JM#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=c85cc2c5-d015-4ede-9b64-db6a0c9abc92,la-reina,La Reina Casa Remodelada Disponible 15 De Junio 2025,casa,"$
1.900.000",1900000,"Alcalde Rutilio Rivas, La Reina, Metro Príncipe De Gales - Country Club, La Reina, RM (Metropolitana)",3 dormitorios,3 baños,135 m² útiles,,
https://portalinmobiliario.com/MLC-1598676385-casa-en-arriendo-de-3-dorm-en-la-reina-_JM#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=c85cc2c5-d015-4ede-9b64-db6a0c9abc92,la-reina,Casa En Arriendo De 3 Dorm. En La Reina,casa,"$
2.200.000",2200000,"Santa Rita, Palmas De Mallorca, La Reina, RM (Metropolitana)",3 dormitorios,3 baños,200 m² útiles,,
https://portalinmobiliario.com/MLC-2888606726-casa-en-arriendo-de-3-dorm-en-la-reina-_JM#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=c85cc2c5-d015-4ede-9b64-db6a0c9abc92,la-reina,Casa En Arriendo De 3 Dorm. En La Reina,casa,"$
1.100.000",1100000,"Mall Plaza Egaña, Francisco De Villagra, La Reina, RM (Metropolitana)",3 dormitorios,2 baños,80 m² útiles,,
https://portalinmobiliario.com/MLC-1608513145-espectacular-casa-en-la-reina-alta-94927-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=c85cc2c5-d015-4ede-9b64-db6a0c9abc92,la-reina,Espectacular Casa En La Reina Alta (94927),casa,"$
2.870.000",2870000,"Valenzuela Puelma 1 - 300, La Reina Alta, La Reina, RM (Metropolitana)",3 dormitorios,3 baños,350 m² útiles,,
https://portalinmobiliario.com/MLC-1610466381-the-grange-school-country-club-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=c85cc2c5-d015-4ede-9b64-db6a0c9abc92,la-reina,The Grange School / Country Club,casa,"UF
65",2544490,"THE GRANGE SCHOOL / COUNTRY CLUB, Metro Príncipe De Gales - Country Club, La Reina, RM (Metropolitana)",3 dormitorios,3 baños,129 m² útiles,,
https://portalinmobiliario.com/MLC-2890507690-country-club-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=c85cc2c5-d015-4ede-9b64-db6a0c9abc92,la-reina,Country Club,casa,"$
1.950.000",1950000,"COUNTRY CLUB, Metro Príncipe De Gales - Country Club, La Reina, RM (Metropolitana)",3 dormitorios,3 baños,130 m² útiles,,
https://portalinmobiliario.com/MLC-2887695472-hermosabarrio-tranquilo-disponible-desde-junio-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=c85cc2c5-d015-4ede-9b64-db6a0c9abc92,la-reina,Hermosa/barrio Tranquilo. Disponible Desde Junio,casa,"$
1.900.000",1900000,"Alcalde Rutilio Rivas 7500 - 7800, La Reina, Carlos Ossandón, La Reina, RM (Metropolitana)",3 dormitorios,3 baños,280 m² útiles,,
https://portalinmobiliario.com/MLC-1609442585-casa-con-acabados-modernos-la-reina-_JM#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=c85cc2c5-d015-4ede-9b64-db6a0c9abc92,la-reina,"Casa Con Acabados Modernos, La Reina",casa,"UF
49",1918154,"La Reina, Carlos Ossandón, RM (Metropolitana)",3 dormitorios,2 baños,155 m² útiles,,
https://portalinmobiliario.com/MLC-2870301572-arrienda-esta-hermosa-y-calida-casa-en-condominio-_JM#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=c85cc2c5-d015-4ede-9b64-db6a0c9abc92,la-reina,¡arrienda Esta Hermosa Y Cálida Casa En Condominio...,casa,"UF
44",1722424,"La Reina, Carlos Ossandón, RM (Metropolitana)",3 dormitorios,2 baños,101 m² útiles,,
https://portalinmobiliario.com/MLC-2867395932-casa-nuevareina-alta-c756311-_JM#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=c85cc2c5-d015-4ede-9b64-db6a0c9abc92,la-reina,Casa Nueva/reina Alta C_756311,casa,"UF
52",2035592,"La Reina Alta, La Reina, RM (Metropolitana)",3 dormitorios,3 baños,140 m² útiles,,
