Link,Comuna,Propiedad,Tipo,precio,precio_CLP,Ubicación,Dormitorios,Baños,Metros,Entrega,Disponibles
https://portalinmobiliario.com/MLC-1607550625-nueva-la-reina-alta-condominio-94814-_JM#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=4ba15bf4-7b86-4625-a231-9a56034e2757,la-reina,Nueva! La Reina Alta Condominio (94814),casa,"UF
80",3131680,"Alvaro Casanova, La Reina Alta, La Reina, RM (Metropolitana)",4 dormitorios,6 baños,230 m² útiles,,
https://portalinmobiliario.com/MLC-2865602376-casa-en-la-reina-residencial-_JM#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=4ba15bf4-7b86-4625-a231-9a56034e2757,la-reina,Casa En La Reina Residencial,casa,"UF
75
,
50",2935950,"SIMON GONZALEZ / CARLOS OSSANDON, Carlos Ossandón, La Reina, RM (Metropolitana)",5 dormitorios,6 baños,1.800 m² útiles,,
https://portalinmobiliario.com/MLC-2863504364-casa-arriendo-4d3b-serv-valenzuela-puelma-la-reina-j80-mp7-_JM#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=4ba15bf4-7b86-4625-a231-9a56034e2757,la-reina,Casa Arriendo 4d3b Serv. Valenzuela Puelma La Reina J80 Mp7,casa,"$
1.980.000",1980000,"Valenzuela Puelma / Padre Hurtado J80 MP7, La Reina Alta, La Reina, RM (Metropolitana)",4 dormitorios,3 baños,193 m² útiles,,
https://portalinmobiliario.com/MLC-2882326638-casa-en-arriendo-de-4-dormitorios-en-la-reina-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=4ba15bf4-7b86-4625-a231-9a56034e2757,la-reina,Casa En Arriendo De 4 Dormitorios En La Reina,casa,"UF
74",2896804,"La Reina Alta / Vista Panorámica Asegurada, La Reina Alta, La Reina, RM (Metropolitana)",4 dormitorios,5 baños,239 m² útiles,,
https://portalinmobiliario.com/MLC-2880458880-francisco-villagra-montebruno-bramar-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=4ba15bf4-7b86-4625-a231-9a56034e2757,la-reina,Francisco Villagra Montebruno Bramar,casa,"$
1.050.000",1050000,"Pje. Francisco De Villagra 6600 - 6900, La Reina, Francisco De Villagra, La Reina, RM (Metropolitana)",4 dormitorios,2 baños,88 m² útiles,,
https://portalinmobiliario.com/MLC-1607380625-casa-avenida-las-perdices-id-152504-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=4ba15bf4-7b86-4625-a231-9a56034e2757,la-reina,Casa Avenida Las Perdices Id: 152504,casa,"$
2.500.000",2500000,"Avenida Las Perdices, La Reina Alta, La Reina, RM (Metropolitana)",5 dormitorios,4 baños,150 m² útiles,,
https://portalinmobiliario.com/MLC-1596933397-casa-en-arriendo-de-4-dorm-en-la-reina-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=4ba15bf4-7b86-4625-a231-9a56034e2757,la-reina,Casa En Arriendo De 4 Dorm. En La Reina,casa,"UF
55",2153030,"Monseñor Edwards, Palmas De Mallorca, La Reina, RM (Metropolitana)",4 dormitorios,2 baños,204 m² útiles,,
https://portalinmobiliario.com/MLC-1605260923-casa-en-arriendo-de-4-dorm-en-la-reina-_JM#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=4ba15bf4-7b86-4625-a231-9a56034e2757,la-reina,Casa En Arriendo De 4 Dorm. En La Reina,casa,"$
2.200.000",2200000,"Av. Bilbao, Metro Príncipe De Gales - Country Club, La Reina, RM (Metropolitana)",4 dormitorios,3 baños,160 m² útiles,,
https://portalinmobiliario.com/MLC-1602909129-casa-en-arriendo-de-4-dorm-en-la-reina-_JM#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=4ba15bf4-7b86-4625-a231-9a56034e2757,la-reina,Casa En Arriendo De 4 Dorm. En La Reina,casa,"$
1.600.000",1600000,"A Dos Cuadras De Eliecer Parada, Troncos Viejos, La Reina, RM (Metropolitana)",4 dormitorios,2 baños,110 m² útiles,,
https://portalinmobiliario.com/MLC-1582978551-arriendo-con-compromiso-de-compra-_JM#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=4ba15bf4-7b86-4625-a231-9a56034e2757,la-reina,Arriendo Con Compromiso De Compra!,casa,"$
1.500.000",1500000,"Damaso, 6600 - 6900, Blest Gana, La Reina, RM (Metropolitana)",4 dormitorios,1 baño,140 m² útiles,,
https://portalinmobiliario.com/MLC-2891013650-arriendo-casa-amobladala-reina-96289-_JM#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=4ba15bf4-7b86-4625-a231-9a56034e2757,la-reina,Arriendo Casa/ Amoblada/la Reina (96289),casa,"$
2.450.000",2450000,"José Zapiola 1 - 300, Carlos Ossandón, La Reina, RM (Metropolitana)",4 dormitorios,4 baños,260 m² útiles,,
https://portalinmobiliario.com/MLC-1608240431-casa-en-arriendo-de-4-dorm-en-la-reina-_JM#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=4ba15bf4-7b86-4625-a231-9a56034e2757,la-reina,Casa En Arriendo De 4 Dorm. En La Reina,casa,"UF
41",1604986,"Carlos Ossandon / Padre Hurtado, Carlos Ossandón, La Reina, RM (Metropolitana)",4 dormitorios,3 baños,170 m² útiles,,
https://portalinmobiliario.com/MLC-2876488596-casa-full-equipada-impecable-en-la-reina-alta-84181-_JM#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=4ba15bf4-7b86-4625-a231-9a56034e2757,la-reina,Casa Full Equipada Impecable En La Reina Alta (84181),casa,"UF
116",4540936,"Alvaro Casanova 900 - 1200, La Reina Alta, La Reina, RM (Metropolitana)",4 dormitorios,5 baños,295 m² útiles,,
https://portalinmobiliario.com/MLC-2886894740-gran-casa-en-conuna-de-la-reina-alta-94933-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=4ba15bf4-7b86-4625-a231-9a56034e2757,la-reina,Gran Casa En Conuna De La Reina Alta (94933),casa,"$
2.650.000",2650000,"Alvaro Casanova 1 - 300, La Reina Alta, La Reina, RM (Metropolitana)",5 dormitorios,2 baños,153 m² útiles,,
https://portalinmobiliario.com/MLC-2872864152-casa-condominio-estilo-georgian-92040-_JM#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=4ba15bf4-7b86-4625-a231-9a56034e2757,la-reina,Casa Condominio Estilo Georgian (92040),casa,"$
2.500.000",2500000,"Julia Bernstein, La Reina, Chile, La Reina Alta, La Reina, RM (Metropolitana)",5 dormitorios,5 baños,350 m² útiles,,
